item_id,warehouse,gender,item_category,brand_tier_group,listing_price,item_listing_date,item_purchase_date,item_accepted_or_rejected,merch_station_time,itemization_station_time,photo_station_time,qa_time
65134238,DC05,women,Shoes,2-Mass,21.99,2020-01-11,2020-01-21,accepted,21,57,58,0
66838835,DC05,kids,Tees & Tanks,1-Value,,,,rejected,32,30,0,0
64915074,DC05,women,,,,,,rejected,50,23,0,0
66156962,DC03,kids,Headwear,1-Value,11.99,2020-01-29,,accepted,31,45,36,0
64888129,DC02,women,Dresses,4-Designer,72.99,2020-01-08,2020-01-19,accepted,30,53,65,0
67027332,DC04,women,Dresses,2-Mass,19.99,2020-02-11,,accepted,14,32,42,0
65819664,DC03,women,Dresses,1-Value,16.99,2020-01-25,,accepted,44,102,45,0
67306863,DC03,women,Sweaters,2-Mass,,,,accepted,31,34,32,0
65731329,DC03,women,Coats & Jackets,2-Mass,21.99,2020-01-23,2020-02-04,accepted,33,46,38,3
65608092,DC05,women,Shoes,1-Value,25.99,2020-01-22,,accepted,26,39,46,0
65249137,DC04,women,Coats & Jackets,2-Mass,34.99,2020-01-14,,accepted,18,36,166,0
66364854,DC02,women,Active Pants,2-Mass,42.99,2020-01-31,,accepted,55,39,150,0
65180835,DC02,women,Sweaters,3-Premium,40.99,2020-01-11,,accepted,17,62,59,0
65283496,DC03,women,Skirts & Skorts,1-Value,9.99,2020-01-15,,accepted,23,38,89,3
65115875,DC05,women,Sweaters,2-Mass,16.99,2020-01-11,,accepted,25,79,42,0
64791081,DC02,women,Tops & Blouses & Shirts,3-Premium,26.99,2020-01-07,2020-01-07,accepted,27,155,84,0
67256736,DC03,women,Sweaters,3-Premium,,,,accepted,29,28,32,0
67267475,DC04,women,Dresses,1-Value,,,,rejected,36,79,0,0
66130991,DC05,kids,Active Pants,1-Value,12.99,2020-01-28,,accepted,32,47,188,0
67012314,DC05,women,Tops & Blouses & Shirts,2-Mass,,,,accepted,6,51,32,0
65525790,DC03,women,Skirts & Skorts,2-Mass,16.99,2020-01-16,2020-01-21,accepted,24,28,257,3
65284448,DC05,women,Dresses,1-Value,19.99,2020-01-14,,accepted,21,43,28,0
66564582,DC05,women,Tops & Blouses & Shirts,1-Value,7.99,2020-02-04,,accepted,17,147,38,0
65404628,DC05,kids,Tops & Blouses & Shirts,1-Value,6.99,2020-01-17,2020-01-27,accepted,19,28,45,0
65467251,DC02,women,Tops & Blouses & Shirts,1-Value,9.99,2020-01-17,2020-01-18,accepted,25,46,15,0
65821085,DC02,women,Pants,1-Value,13.99,2020-01-24,,accepted,32,108,77,0
67210644,DC04,women,Shorts,1-Value,,,,accepted,22,42,85,0
65781169,DC05,kids,,1-Value,,,,rejected,35,22,0,0
67209893,DC05,kids,Tops & Blouses & Shirts,,,,,accepted,20,18,106,0
67040087,DC03,women,One Piece,1-Value,,,,rejected,48,43,0,0
67038112,DC05,women,Blazers,1-Value,10.99,2020-02-12,,accepted,56,26,66,0
66327255,DC05,women,Jeans,2-Mass,23.99,2020-01-31,2020-02-08,accepted,47,90,237,0
66131754,DC03,kids,Dresses,,11.99,2020-01-29,,accepted,43,28,126,0
65558474,DC03,women,Active Pants,2-Mass,15.99,2020-01-18,,accepted,29,39,39,2
66509089,DC02,women,Tees & Tanks,1-Value,,,,rejected,25,65,0,0
66697264,DC05,kids,Skirts & Skorts,1-Value,,,,rejected,31,21,0,0
64716183,DC02,women,Dresses,2-Mass,15.99,2020-01-04,,accepted,24,52,43,0
64919084,DC04,women,Active Pants,1-Value,15.99,2020-01-08,,accepted,20,51,40,0
65500088,DC05,women,Pants,1-Value,14.99,2020-01-18,,accepted,23,51,40,0
67189348,DC05,women,Tops & Blouses & Shirts,1-Value,,,,accepted,198,41,44,0
65136427,DC03,kids,Active Pants,,,,,rejected,25,27,0,0
65752734,DC03,women,Sweaters,1-Value,18.99,2020-01-23,,accepted,75,33,34,0
66999931,DC05,women,Tops & Blouses & Shirts,1-Value,8.99,2020-02-12,,accepted,27,67,36,0
65966060,DC04,women,Skirts & Skorts,2-Mass,14.99,2020-01-25,2020-01-26,accepted,20,21,54,0
66522497,DC02,women,Sweaters,2-Mass,,,,rejected,21,22,0,0
65289879,DC05,kids,Tops & Blouses & Shirts,1-Value,4.99,2020-01-15,,accepted,42,39,144,0
67209481,DC04,women,Shoes,1-Value,20.99,2020-02-13,,accepted,58,29,40,0
64709390,DC03,women,Sweaters,4-Designer,45.99,2020-01-04,,accepted,3,68,145,0
